work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_currency
2021,Senior-level,Full-time,Data Analytics Manager,120000,USD,120000,US,On-site,US,Large,USD
2021,Mid-level,Full-time,Machine Learning Engineer,21000,EUR,24823,Others,Hybrid,SI,Large,
2021,Mid-level,Full-time,Research Scientist,48000,EUR,56738,Others,Hybrid,FR,Small,
2021,Mid-level,Full-time,Data Engineer,48000,GBP,66022,Others,Hybrid,GB,Small,
2021,Entry-level,Full-time,Big Data Engineer,435000,INR,5882,IN,On-site,CH,Large,INR
2021,Entry-level,Full-time,Machine Learning Engineer,21000,EUR,24823,DE,Hybrid,DE,Medium,EUR
2021,Senior-level,Full-time,Principal Data Engineer,185000,USD,185000,US,Remote,US,Large,USD
2021,Entry-level,Part-time,Computer Vision Engineer,180000,DKK,28609,Others,Hybrid,DK,Small,
2021,Mid-level,Full-time,Machine Learning Engineer,75000,EUR,88654,Others,Remote,BE,Medium,
2021,Senior-level,Full-time,Data Analytics Manager,140000,USD,140000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Machine Learning Engineer,180000,PLN,46597,Others,Remote,PL,Large,
2021,Mid-level,Full-time,Data Scientist,85000,GBP,116914,GB,Hybrid,GB,Large,GBP
2021,Mid-level,Full-time,Data Scientist,2500000,INR,33808,IN,On-site,IN,Medium,INR
2021,Mid-level,Full-time,Data Scientist,40900,GBP,56256,GB,Hybrid,GB,Large,GBP
2021,Senior-level,Full-time,Machine Learning Scientist,225000,USD,225000,US,Remote,CA,Large,USD
2021,Executive-level,Contract,Principal Data Scientist,416000,USD,416000,US,Remote,US,Small,USD
2021,Senior-level,Full-time,Data Scientist,110000,CAD,87738,CA,Remote,CA,Small,CAD
2021,Mid-level,Full-time,Data Scientist,75000,EUR,88654,DE,Hybrid,DE,Large,EUR
2021,Senior-level,Full-time,Data Scientist,135000,USD,135000,US,On-site,US,Large,USD
2021,Senior-level,Full-time,Data Analyst,90000,CAD,71786,CA,Remote,CA,Medium,CAD
2021,Entry-level,Full-time,Big Data Engineer,1200000,INR,16228,IN,Remote,IN,Large,INR
2021,Senior-level,Full-time,Machine Learning Engineer,256000,USD,256000,US,Remote,US,Small,USD
2021,Senior-level,Full-time,Director of Data Engineering,200000,USD,200000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Analyst,200000,USD,200000,US,Remote,US,Large,USD
